Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-05-23 16:31:35,teléfono,1967,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,03:17
2024-05-23 17:00:28,teléfono,1966,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,00:53
2024-05-23 18:26:21,teléfono,1955,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,00:52
2024-05-23 19:12:41,computer,1982,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,00:44
2024-05-23 20:00:55,teléfono,1971,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:41
2024-05-23 20:09:19,teléfono,1985,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,No he utilizado los servicios,00:33
2024-05-23 20:24:29,teléfono,1982,"No, no conozco esta institución","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,00:44
2024-05-23 21:20:25,teléfono,1972,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Muy buenos,00:43
2024-05-23 21:39:19,teléfono,1987,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,00:28
2024-05-23 21:58:41,teléfono,1992,"Más o menos, pero no lo sé todo.",Cliente de La Galeria,Pésimos,00:44
2024-05-23 23:21:44,teléfono,1966,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:53
2024-05-24 06:59:21,teléfono,1994,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Regulares,00:34
2024-05-24 07:35:02,teléfono,1984,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,00:43
2024-05-24 11:07:00,teléfono,1984,"Más o menos, pero no lo sé todo.",Cliente de Mercaplaza,Regulares,00:52
2024-04-08 19:49:30,teléfono,1990,"Si, lo sé muy bien",Cliente de Mercaplaza,No he utilizado los servicios,54:18
2024-05-27 10:10:00,teléfono,1968,"Si, lo sé muy bien",Ninguno,Muy buenos,00:34
2024-05-28 21:00:58,teléfono,1977,"Más o menos, pero no lo sé todo.","Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday",Malos,00:53
2024-05-29 10:52:54,teléfono,1994,"Si, lo sé muy bien",Ninguno,Regulares,00:44
2024-05-29 15:52:19,teléfono,1965,"Si, lo sé muy bien",Ninguno,Pésimos,02:59
2024-05-30 08:34:29,teléfono,1962,"Más o menos, pero no lo sé todo.","Cliente del Bicentenario, Cliente de La Galeria",Malos,01:04
2024-05-30 14:45:11,teléfono,1950,"Sé que existe, pero no sé qué hace","Cliente del Bicentenario, Cliente de La Galeria",Buenos,03:19
2024-06-01 15:26:48,teléfono,10 15 64,"Si, lo sé muy bien",Ninguno,Pésimos,00:34
2024-06-01 21:51:27,teléfono,1993,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:21
2024-06-02 14:40:48,teléfono,30 6 1958,"Si, lo sé muy bien","Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,03:14
2024-06-03 22:51:04,teléfono,1977,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,00:23
2024-06-05 00:34:46,teléfono,1985,"Más o menos, pero no lo sé todo.",Cliente de Urbanización Terranova,No he utilizado los servicios,01:25
2024-05-29 08:53:33,teléfono,1960,"Si, lo sé muy bien",Ninguno,Pésimos,47:39
2024-06-05 11:04:15,computer,1965,"Sé que existe, pero no sé qué hace",Cliente de La Galeria,Pésimos,01:07
2024-06-05 11:54:02,teléfono,1953,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,01:28
2024-06-05 12:15:53,teléfono,09 07 80,"Sé que existe, pero no sé qué hace",Cliente nueva Terminal de Transportes,No he utilizado los servicios,02:08
